15/03/2023
15:15:55 Ligou CLP
15:26:30 Ligou CLP
15:35:40 Desativou Alarme Protetor dianteiro aberto
15:35:40 Desativou Alarme Molde nao fechado
15:35:40 Ativou Alarme Protetor dianteiro aberto
15:35:40 Ativou Alarme Molde nao fechado
15:35:40 Desativou Alarme Protetor dianteiro aberto
15:35:40 Desativou Alarme Molde nao fechado
15:35:40 Ativou Alarme Protetor dianteiro aberto
15:35:40 Ativou Alarme Molde nao fechado
15:35:41 Desativou Alarme Protetor dianteiro aberto
15:35:41 Desativou Alarme Molde nao fechado
15:35:41 Ativou Alarme Protetor dianteiro aberto
15:35:41 Ativou Alarme Molde nao fechado
15:35:41 Desativou Alarme Protetor dianteiro aberto
15:35:41 Desativou Alarme Molde nao fechado
15:35:42 Ativou Alarme Protetor dianteiro aberto
15:35:42 Desativou Alarme Protetor dianteiro aberto
15:35:42 Ativou Alarme Protetor dianteiro aberto
15:35:42 Desativou Alarme Protetor dianteiro aberto
15:35:43 Ativou Alarme Protetor dianteiro aberto
15:35:43 Desativou Alarme Protetor dianteiro aberto
15:35:43 Ativou Alarme Protetor dianteiro aberto
15:35:43 Desativou Alarme Protetor dianteiro aberto
15:35:43 Ativou Alarme Protetor dianteiro aberto
15:35:44 Desativou Alarme Protetor dianteiro aberto
15:35:44 Ativou Alarme Protetor dianteiro aberto
15:35:44 Desativou Alarme Protetor dianteiro aberto
15:35:44 Ativou Alarme Protetor dianteiro aberto
15:35:44 Desativou Alarme Protetor dianteiro aberto
15:35:44 Ativou Alarme Protetor dianteiro aberto
15:35:44 Desativou Alarme Protetor dianteiro aberto
15:35:44 Ativou Alarme Protetor dianteiro aberto
15:35:44 Desativou Alarme Protetor dianteiro aberto
15:35:45 Ativou Alarme Protetor dianteiro aberto
15:35:45 Desativou Alarme Protetor dianteiro aberto
15:35:47 sensorProtetorDiantFechado=1 (ant=0)
15:35:48 Ativou Alarme Molde nao fechado
15:35:49 Desativou Alarme Molde nao fechado
15:35:49 Ativou Alarme Molde nao fechado
15:35:49 Desativou Alarme Molde nao fechado
15:35:49 Ativou Alarme Molde nao fechado
15:35:50 Desativou Alarme Molde nao fechado
15:35:51 Ativou Alarme Molde nao fechado
15:35:51 Desativou Alarme Molde nao fechado
15:35:51 Ativou Alarme Molde nao fechado
15:35:52 Desativou Alarme Molde nao fechado
15:35:52 Ativou Alarme Molde nao fechado
15:35:52 Desativou Alarme Molde nao fechado
15:35:54 Ativou Alarme Molde nao fechado
15:35:54 Desativou Alarme Molde nao fechado
15:46:56 Ligou CLP
15:46:56 Ativou Alarme Motor desligado
15:47:00 Desativou Alarme Motor desligado
15:47:05 Ativou Alarme Protetor dianteiro aberto
15:47:05 Ativou Alarme Molde nao fechado
15:47:06 Desativou Alarme Protetor dianteiro aberto
15:47:06 Desativou Alarme Molde nao fechado
15:47:06 Ativou Alarme Protetor dianteiro aberto
15:47:06 Ativou Alarme Molde nao fechado
15:47:07 Desativou Alarme Protetor dianteiro aberto
15:47:07 Desativou Alarme Molde nao fechado
15:47:08 Ativou Alarme Protetor dianteiro aberto
15:47:08 Ativou Alarme Molde nao fechado
15:47:11 Desativou Alarme Protetor dianteiro aberto
15:47:11 Desativou Alarme Molde nao fechado
15:47:11 Ativou Alarme Protetor dianteiro aberto
15:47:11 Ativou Alarme Molde nao fechado
15:47:12 Desativou Alarme Protetor dianteiro aberto
15:47:12 Desativou Alarme Molde nao fechado
15:47:12 Ativou Alarme Protetor dianteiro aberto
15:47:12 Ativou Alarme Molde nao fechado
15:47:12 Desativou Alarme Protetor dianteiro aberto
15:47:12 Desativou Alarme Molde nao fechado
15:47:12 Ativou Alarme Protetor dianteiro aberto
15:47:12 Ativou Alarme Molde nao fechado
15:47:12 Desativou Alarme Protetor dianteiro aberto
15:47:12 Desativou Alarme Molde nao fechado
15:47:13 Ativou Alarme Protetor dianteiro aberto
15:47:13 Ativou Alarme Molde nao fechado
15:47:13 Desativou Alarme Protetor dianteiro aberto
15:47:14 Desativou Alarme Molde nao fechado
15:47:14 Ativou Alarme Protetor dianteiro aberto
15:47:14 Ativou Alarme Molde nao fechado
15:47:14 Desativou Alarme Protetor dianteiro aberto
15:47:14 Desativou Alarme Molde nao fechado
15:47:22 sensorProtetorDiantFechado=1 (ant=0)
15:47:23 Ativou Alarme Molde nao fechado
15:47:23 Desativou Alarme Molde nao fechado
15:47:24 Ativou Alarme Molde nao fechado
15:47:24 Desativou Alarme Molde nao fechado
15:47:25 Ativou Alarme Molde nao fechado
15:47:25 Desativou Alarme Molde nao fechado
15:47:25 Ativou Alarme Molde nao fechado
15:47:25 Desativou Alarme Molde nao fechado
15:47:26 Ativou Alarme Molde nao fechado
15:47:26 Desativou Alarme Molde nao fechado
15:47:38 sensorProtetorDiantFechado=0 (ant=1)
15:47:38 Ativou Alarme Protetor dianteiro aberto
15:47:39 Desativou Alarme Protetor dianteiro aberto
15:47:39 Ativou Alarme Protetor dianteiro aberto
15:47:39 Desativou Alarme Protetor dianteiro aberto
15:47:40 Ativou Alarme Protetor dianteiro aberto
15:47:40 Desativou Alarme Protetor dianteiro aberto
15:47:40 Ativou Alarme Protetor dianteiro aberto
15:47:40 Desativou Alarme Protetor dianteiro aberto
15:47:40 Ativou Alarme Protetor dianteiro aberto
15:47:40 Desativou Alarme Protetor dianteiro aberto
15:47:41 Ativou Alarme Protetor dianteiro aberto
15:47:41 Desativou Alarme Protetor dianteiro aberto
15:47:41 Ativou Alarme Protetor dianteiro aberto
15:47:41 Desativou Alarme Protetor dianteiro aberto
15:47:41 Ativou Alarme Protetor dianteiro aberto
15:47:41 Desativou Alarme Protetor dianteiro aberto
15:47:41 Ativou Alarme Protetor dianteiro aberto
15:47:41 Desativou Alarme Protetor dianteiro aberto
15:47:42 Ativou Alarme Protetor dianteiro aberto
15:47:42 Desativou Alarme Protetor dianteiro aberto
15:47:42 Ativou Alarme Protetor dianteiro aberto
15:47:42 Desativou Alarme Protetor dianteiro aberto
15:47:42 Ativou Alarme Protetor dianteiro aberto
15:47:43 Desativou Alarme Protetor dianteiro aberto
15:47:44 Ativou Alarme Protetor dianteiro aberto
15:47:44 Desativou Alarme Protetor dianteiro aberto
15:47:44 Ativou Alarme Protetor dianteiro aberto
15:47:44 Desativou Alarme Protetor dianteiro aberto
15:47:45 Ativou Alarme Protetor dianteiro aberto
15:47:45 Desativou Alarme Protetor dianteiro aberto
15:47:47 sensorProtetorDiantFechado=1 (ant=0)
15:50:07 Ligou CLP
15:50:07 Ativou Alarme Motor desligado
15:50:12 Desativou Alarme Motor desligado
15:50:17 Ativou Alarme Protetor dianteiro aberto
15:50:17 Ativou Alarme Molde nao fechado
15:50:17 Desativou Alarme Protetor dianteiro aberto
15:50:17 Desativou Alarme Molde nao fechado
15:50:17 Ativou Alarme Protetor dianteiro aberto
15:50:17 Ativou Alarme Molde nao fechado
15:50:18 Desativou Alarme Protetor dianteiro aberto
15:50:18 Desativou Alarme Molde nao fechado
15:50:18 Ativou Alarme Protetor dianteiro aberto
15:50:18 Ativou Alarme Molde nao fechado
15:50:18 Desativou Alarme Protetor dianteiro aberto
15:50:18 Desativou Alarme Molde nao fechado
15:50:18 Ativou Alarme Protetor dianteiro aberto
15:50:18 Ativou Alarme Molde nao fechado
15:50:19 Desativou Alarme Protetor dianteiro aberto
15:50:19 Desativou Alarme Molde nao fechado
15:50:19 Ativou Alarme Protetor dianteiro aberto
15:50:19 Ativou Alarme Molde nao fechado
15:50:19 Desativou Alarme Protetor dianteiro aberto
15:50:19 Desativou Alarme Molde nao fechado
15:50:19 Ativou Alarme Protetor dianteiro aberto
15:50:19 Ativou Alarme Molde nao fechado
15:50:19 Desativou Alarme Protetor dianteiro aberto
15:50:19 Desativou Alarme Molde nao fechado
15:50:21 Ativou Alarme Protetor dianteiro aberto
15:50:22 Desativou Alarme Protetor dianteiro aberto
15:50:23 Ativou Alarme Protetor dianteiro aberto
15:50:25 Desativou Alarme Protetor dianteiro aberto
15:50:29 Ativou Alarme Protetor dianteiro aberto
15:50:29 Desativou Alarme Protetor dianteiro aberto
15:50:30 Ativou Alarme Protetor dianteiro aberto
15:50:30 Desativou Alarme Protetor dianteiro aberto
15:50:31 Ativou Alarme Protetor dianteiro aberto
15:50:31 Desativou Alarme Protetor dianteiro aberto
15:50:34 Ativou Alarme Protetor dianteiro aberto
15:50:34 Desativou Alarme Protetor dianteiro aberto
15:50:34 Ativou Alarme Protetor dianteiro aberto
15:50:34 Desativou Alarme Protetor dianteiro aberto
15:50:35 Ativou Alarme Protetor dianteiro aberto
15:50:35 Desativou Alarme Protetor dianteiro aberto
15:50:36 Ativou Alarme Protetor dianteiro aberto
15:50:36 Desativou Alarme Protetor dianteiro aberto
15:50:36 Ativou Alarme Protetor dianteiro aberto
15:50:36 Desativou Alarme Protetor dianteiro aberto
15:50:36 Ativou Alarme Protetor dianteiro aberto
15:50:37 Desativou Alarme Protetor dianteiro aberto
